Prunus armeniaca,Good,
Prunus domestica seed extract,Good,
Prunus domestica seed oil,Best,"Non-fragrant plant oil, more commonly known as plum (and, when dried, prune) that is a rich source of several potent antioxidants."
Prunus dulcis,Good,
Pseudopterogorgia elisabethae,Best,
Psidium guajava fruit extract,Best,"Guava extract is a rich source of bioactive antioxidants including gallic acid, quercetin, and tocopherol."
Pueraria lobata,Best,
pullulan,Good,"Glucan gum produced by black yeast that contains polysaccharides, which makes it a good..."
pumpkin,Best,"Plant whose seeds are a rich source of fatty acids and several antioxidant components, including..."
pumpkin seed extract,Best,Type of squash that is a very good source of antioxidant cartenoids. Pumpkin seed oil and extract...
Punica granatum extract,Best,
purified water,Good,
PVM/MA decadiene crosspolymer,Good,Synthetic polymer used as a film-forming and thickening agent.
PVP,Good,
PVP/dimethylaminoethylmethacrylate,Good,Polymer formed from PVP (polyvinylpyrrolidone) and the film-forming agent dimethylaminomethacrylate.
PVP copolymer,Good,
pycnogenol,Good,Antioxidant derived from the bark of the French Maritime pine tree. The term pycnogenol was...
pyridoxine hydrochloride (HCL),Good,Scientific name for vitamin B6; may have antioxidant benefits for skin when...
Pyrus cydonia,Poor,
Pyrus malus (apple) fruit extract,Good,Species of apple; the pectin derived from it is used as a thickener in cosmetics.
quaternium-15,Average,"Formaldehyde-releasing preservative used in cosmetics. It can be a skin sensitizer, as can all..."
quaternium-18 hectorite,Good,Used as a suspending agent and also has emulsifying properties.
quaternium ammonium compounds,Good,"A wide range of ingredients, called “quats” for short, that share a unique molecular structure that..."
quercetin,Best,"A bioflavonoid ingredient from plants. Quercetin occurs naturally in red wine, tea, onions, kale, tomatoes, berries, and many other fruits and vegetables..."
quercus,Poor,
Quercus infectoria extract,Poor,
quillaja extract,Good,"Extract of the Chilean soap bark tree. It contains a good amount of saponins, which have cleansing,..."
quince seed,Poor,"Used as a thickening agent in cosmetics, but also has skin-constricting properties..."
quinoa oil,Good,"Derived from quinoa grain, it may have disinfectant properties (Source: Journal of Agricultural Food..."
rapeseed oil,Best,Nonfragrant oil that has emollient and potential antioxidant properties for skin (Source: British...
raspberry seed extract,Good,
raspberry seed oil,Good,
red 27 lake,Good,
red 33,Good,
red 6 lake,Good,
red algae,Good,
red clover,Good,Can have antioxidant and soothing properties...
red raspberry extract,Good,Fruit extract that has potent antioxidant properties...
reducing agent,Good,Versatile ingredient composed of several non-volatile alcohols. Functions as a...
resveratrol,Best,"Potent polyphenolic antioxidant that is abundant in red grapes and, therefore, in red wine..."
retinol,Best,"Retinol, the name for the entire vitamin A molecule, is a skin-restoring ingredient and an antioxidant."
retinyl ascorbate,Best,An ester of vitamin A (retinoic acid) and vitamin C (ascorbic acid) that functions as an antioxidant...
retinyl palmitate,Best,Combination of retinol (pure vitamin A) and the fatty acid palmitic acid. Research has shown...
retinyl retinoate,Best,"A synthetic, ""new generation"" retinol with research showing its usefulness for skin..."
Rhodiola rosea root extract,Best,"The extract of the plant Rhodiola rosea, also known as Arctic root or golden root, that is high in antioxidants and flavonoids."
riboflavin,Average,
rice bran oil,Good,Emollient oil similar to other nonfragrant plant oils. There is no research showing this has any...
rice oil,Good,Emollient similar to other nonfragrant plant oils. There is no research showing this has any...
rice starch,Good,Absorbent substance sometimes included in products rather than talc....
ricinoleate,Good,Glyceryl triester used in cosmetics as a thickening agent and emollient.
Ricinus communis,Good,
Robinia pseudacacia extract,Poor,
Rosa canina,Good,
Rosa centifolia,Good,
Rosa centifolia flower,Good,
Rosa damascena oil,Poor,Oil of a very fragrant pink rose used as fragrance in cosmetics.
Rosa eglanteria,Good,
Rosa gallica flower extract,Poor,Fragrant extract.
Rosa mosqueta,Good,
Rosa roxburghii extract,Best,"Extract from the chestnut rose; can be a source of antioxidants for skin, and does not impart..."
Rosa rubiginosa,Good,
rose flower,Poor,Highly fragrant substance that can be a skin sensitizer.
rose flower oil,Poor,"Fragrant, volatile oil that can aggravate skin. There is no research showing..."
rose hip,Good,
rose hip oil,Good,Good emollient oil that has antioxidant properties (Sources: Journal of Agricultural Food...
rosemary extract,Good,"Extract that can have antioxidant benefit for skin (Source: Journal of Agricultural Food Chemistry,..."
rosemary oil,Poor,"Fragrant plant oil derived from rosemary, Latin name Rosmarinus officinalis. This ingredient is primarily used as a fragrance in cosmetics..."
rose oil,Poor,"Fragrant, volatile oil that can aggravate skin."
rosewood oil,Poor,"Fragrant plant oil with a spicy-sweet scent, also known as bois de rose. It is extracted from wood..."
Rosmarinus officinalis extract,Poor,
royal jelly,Average,The myriad claims about royal jelly are anecdotal and have no research to substantiate them.
Rubus idaeus,Good,
Rubus occidentalis,Best,
Rubus ursinus,Good,
Rubus ursinus x idaeus,Best,
Rubus villoscus,Best,The Latin name for blackberry fruit extract. This plant extract has antioxidant ability...
Ruscus aculeatus,Average,
rutin,Best,Bioflavonoid that is extracted from various plants and used in cosmetics as an antioxidant and...
saccharide isomerate,Good,Good water-binding agent and emollient for skin.
saccharides,Best,
Saccharomyces calcium ferment,Average,Extract of yeast fermented in the presence of calcium ions. It has no known benefit for skin.
Saccharomyces cerevisiae,Average,"Saccharomyces, from the Latin, literally means “sugar fungus,” and is the scientific name for the..."
Saccharomyces copper ferment,Average,"Extract of yeast fermented in the presence of copper ions. There is no known benefit for skin,..."
Saccharomyces iron ferment,Average,Extract of yeast fermented in the presence of iron ions.
Saccharomyces lysate,Good,
Saccharomyces magnesium ferment,Average,Extract of yeast fermented in the presence of magnesium ions.
Saccharomyces manganese ferment,Average,Extract of yeast fermented in the presence of manganese ions.
Saccharomyces officinarum ferment,Average,"Derived from the sugarcane plant. Glycolic acid is also derived from sugarcane, but sugarcane..."
Saccharomyces potassium ferment,Average,Extract of yeast fermented in the presence of potassium ions.
saccharomyces selenium ferment,Good,An ingredient created by the fermentation of the Saccharomyces yeast with the mineral selenium.
Saccharomyces silicon ferment,Average,Extract of yeast fermented in the presence of silicon ions.
Saccharomyces zinc ferment,Average,Extract of yeast fermented in the presence of zinc ions.
safflower seed oil,Best,Emollient oil derived from the safflower (Carthamus tinctorius) plant.
sage extract,Average,"Plant used most often to enhance the flavor of foods. Like all plant extracts, sage..."
salicin,Good,
salicylic acid,Best,"Also called beta hydroxy acid (BHA), this multifunctional ingredient addresses many of the systemic causes of acne."
Salix alba extract,Good,
Salix nigra (willow) bark extract,Good,
Salvia hispanica (chia) seed oil,Best,Non-fragrant plant oil whose seeds are a rich source of fatty acids...
Salvia officinalis,Poor,
Sambucus canadensis,Good,
Sambucus cerulea,Good,Blue elderberry. May have antioxidant properties for skin.
Sambucus nigra,Good,"When taken orally, this has antioxidant properties (Source: Journal of Agricultural Food..."
Sambucus nigra fruit extract,Good," 'When taken orally, this has antioxidant properties (Source: Journal of Agricultural Food..."
sandalwood oil,Poor,Fragrant oil that can cause skin-sensitizing reactions...
Santalum album seed extract,Average,"Latin name for sandalwood extract, which is used in cosmetics as a fragrance. It can have..."
Sapindus mukurossi peel extract,Good,A plant extract that is a natural source of saponin...
Saponaria officinalis extract,Good,
saponin,Good,"Group of natural carbohydrates, found in plants, that have considerable potential..."
sarcosine,Good, 'A synthetic amino acid derivative that functions as a skin conditioning...
Sargassum filipendula extract,Good,
sausurrea oil,Poor,Also called costus oil. Volatile oil and fragrant component used in cosmetics; it can be a skin...
Saxifraga sarmentosa extract,Average,
sclareolide,Poor,Fermented from clary sage and used as a fragrant component in cosmetics.
Sclerocarya birrea,Best,"More commonly known as marula oil, Sclerocarya birrea oil is a non-fragrant plant oil that's a rich source..."
sclerotium gum,Good,Used as a thickening agent in cosmetics.
Scutellaria baicalensis extract,Good,
SD alcohol,Poor,
SD alcohol 40-2,Poor,Denatured alcohol used as a solvent. It can be drying and sensitizing to skin when one of the main...
sea buckthorn,Good,Berry extract that grows on a shrub-like tree. Sea buckthorn is believed to have several topical...
Seamollient,Good,Trade name for an algae extract.
sea salt,Average,"Can be effective as a topical scrub, but if left on skin it can increase skin sensitivity to UVB..."
seaweed,Good,"Group of sea plants (scientific name: algae) of all sizes and shapes, and having a gelatin-like..."
sea whip extract,Best,"Extract from a creature that inhabits coral reefs, known for its soothing properties..."
sebacic acid,Good,Used as a pH adjuster.
selenium,Best,Mineral considered to be a potent antioxidant...
Serenoa serrulata extract,Average,
sericin,Good,Scientific name for silk protein.
serine,Good,
sesame oil,Good,Emollient oil similar to other nonfragrant plant oils.
Sesamum indicum,Good,
sesquioleate,Good,Used in cosmetics as a thickening agent and emollient.
shea butter,Best,Shea butter is a plant lipid extracted from the karite tree that is used as an emollient in cosmetics.
Siegesbeckia orientalis,Average,Chinese herb (also known as St. Paul’s wort) for which there is no research showing that it has any...
silanetriol,Good,
silica,Good,"Mineral found abundantly in sandstone, clay, and granite, as well as in parts of plants and..."
silica dimethyl silylate,Good,Used as a slip and suspending agent.
silicate,Good,Inorganic salt that has potent absorbing and thickening properties.
silicone,Good,Substance derived from silica (sand is a silica). The unique fluid properties of silicone give it a...
